Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
"NO SENYALITZAR DE FORMA EFICAÇ UN OBSTACLE O PERILL CREAT A LA VIA, PER AVISAR QUE HI ÉS ",RGC,5,3,,1,6,100,90,L,N,0,,5684
"DETENIR, PARAR O ESTACIONAR UN VEHICLE DESTINAT A SERVEIS D'URGÈNCIA O ASSISTÈNCIA MECÀNICA EN LLOC DIFERENT DEL FIXAT PELS AGENTS DE L'AUTORITAT",RGC,5,6,,1,6,100,90,L,N,0,,13607
LLENÇAR A LA VIA O A LES SEVES PROXIMITATS QUALSEVOL OBJECTE QUE POT POSAR EN PERILL LA SEGURETAT VIÀRIA ,RGC,6,,,2,200,200,200,L,N,0,,5687
"LLENÇAR A LA VIA O A LES SEVES PROXIMITATS, UN USUARI NO CONDUCTOR, QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",RGC,6,1,,4,200,200,200,L,N,0,,14751
"LLENÇAR, EL CONDUCTOR DEL VEHICLE, A LA VIA  O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",RGC,6,1,,5,500,500,500,L,N,6,,21587
"LLENÇAR, EL CONDUCTOR D'UN VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI PRODUIR ACCIDENTS DE CIRCULACIÓ",RGC,6,1,,6,500,500,500,L,N,6,,21588
"LLENÇAR, EL PASSATGER DEL VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",RGC,6,1,,7,500,500,500,L,N,0,,21590
"LLENÇAR, EL PASSATGER D'UN VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI PRODUIR ACCIDENTS DE CIRCULACIÓ",RGC,6,1,,8,500,500,500,L,N,0,,21591
"NO COL.LABORAR, EL CONDUCTOR DEL VEHICLE RESSENYAT, EN LES PROVES DE DETECCIÓ DE POSSIBLES DEFICIÈNCIES EN L'EMISSIÓ DE PERTORBACIONS ELECTROMAGNÈTIQUES, SOROLLS, GASOS O FUMS",RGC,7,1,,3,6,100,90,L,N,0,,5757
CIRCULAR AMB UN VEHICLE QUE EMET PERTORBACIONS ELECTROMAGNÈTIQUES ,RGC,7,1,,4,200,200,200,L,N,0,,18593
CIRCULAR AMB UN VEHICLE AMB NIVELLS D'EMISSIÓ DE SOROLLS SUPERIORS ALS LIMITS ESTABLERTS PER LES NORMES QUE REGULEN LA MATÈRIA,RGC,7,1,,5,200,200,200,L,N,0,,18594
CIRCULAR AMB UN VEHICLE EMETENT GASOS O FUMS EN VALORS SUPERIORS ALS LIMITS ESTABLERTS EN LES NORMES REGULA DORES DELS VEHICLES,RGC,7,1,,6,200,200,200,L,N,0,,18595
CIRCULAR AMB UN VEHICLE LLENÇANT FUMS QUE PODEN DIFICULTAR LA VISIBILITAT A ALTRES CONDUCTORS ,RGC,7,2,,6,200,200,200,L,N,0,,18623
"CIRCULAR AMB UN VEHICLE A MOTOR AMB L'ESCAPAMENT LLIURE, SENSE PORTAR INSTAL.LAT EL PRECEPTIU DISPOSITIU SILENCIADOR D'EXPLOSIONS O AMB UN SILENCIADOR INEFICAÇ",RGC,7,2,,7,200,200,200,L,N,0,,18713
"CIRCULAR AMB UN CICLOMOTOR AMB L'ESCAPAMENT LLIURE, SENSE PORTAR INSTAL.LAT EL PRECEPTIU DISPOSITIU SILENCIADOR D'EXPLOSIONS O AMB UN SILENCIADOR INEFICAÇ",RGC,7,2,,8,200,200,200,L,N,0,,18714
"TRANSPORTAR, EN EL VEHICLE RESSENYAT, UN NOMBRE DE PERSONES SUPERIOR AL DE PLACES AUTORITZADES ",RGC,9,1,,1,6,100,90,L,N,0,,5764
"NO TENIR, UN VEHICLE DE SERVEI PÚBLIC O AUTOBÚS, LA PLACA INTERIOR QUE ASSENYALA EL NOMBRE DE PLACES ",RGC,9,1,,3,6,100,90,L,N,0,,5766
TRANSPORTAR PERSONES I/O EQUIPATGES DE MANERA QUE SE EXCEDA LA MMA DEL VEHICLE ,RGC,9,1,,4,6,100,90,L,N,0,,5767
"TRANSPORTAR, EN EL VEHICLE RESSENYAT, UN NOMBRE DE PERSONES DE MANERA QUE S'AUGMENTA EN UN 50%  EL NOMBRE DE PLACES AUTORITZADES, EXCLÒS EL CONDUCTOR",RGC,9,1,,6,200,200,200,L,N,0,,13614
CIRCULAR DOS O MÉS PERSONES EN UN VMP  ,RGC,9,1,,7,6,100,90,L,N,0,,19622
TRANSPORTAR PERSONES EN UN LLOC DIFERENT DEL QUE TENEN DESTINAT I CONDICIONAT EN ELS VEHICLES ,RGC,10,1,,1,6,100,90,L,N,0,,5768
"PORTAR INSTAL.LADA UNA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR SIMULTÀNIAMENT PERSONES I CÀRREGA, DE MANERA QUE LA CÀRREGA DESTORBA ELS SEUS OCUPANTS",RGC,10,3,,1,6,100,90,L,N,0,,5769
PORTAR INSTAL.LADA UNA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR PERSONES I CÀRREGA DE MANERA QUE LA CÀRREGA POT DANYAR ELS OCUPANTS EN CAS DE SER PROJECTADA,RGC,10,3,,2,6,100,90,L,N,0,,5770
NO PORTAR INSTAL.LADA LA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR SIMULTÀNIAMENT PERSONES I CÀRREGA,RGC,10,4,,1,200,200,200,L,N,0,,18293
"NO EFECTUAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, UNA PARADA TAN A LA VORA COM SIGUI POSSIBLE DEL COSTAT DRET DE LA CALÇADA",RGC,11,1,,1,6,100,90,L,N,0,,6090
"EFECTUAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, PARADES I ARRENCADES AMB SACSEJADES O MOVIMENTS BRUSCOS",RGC,11,1,,2,6,100,90,L,N,0,,9866
"REALITZAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, ACTES QUE EL PODEN DISTREURE DURANT LA MARXA DEL VEHICLE",RGC,11,1,,3,6,100,90,L,N,0,,9867
"NO VETLLAR, EL CONDUCTOR I/O LA PERSONA ENCARREGADA D'UN TRANSPORT COL.LECTIU DE PERSONES, PER LA SEGURETAT DELS VIATGERS DURANT LA MARXA, LES PUJADES O LES BAIXADES",RGC,11,1,,4,6,100,90,L,N,0,,9868
