Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
"DISTREURE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, EL CONDUCTOR DEL VEHICLE DURANT LA MARXA ",RGC,11,2,A,1,6,100,90,L,N,0,,9869
"ENTRAR O SORTIR DEL VEHICLE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, PER UN LLOC DIFERENT DEL QUE HI HA DESTINAT PER FER-HO",RGC,11,2,B,1,6,100,90,L,N,0,,9870
"ENTRAR AL VEHICLE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, QUAN S'HA AVISAT QUE ESTÀ COMPLET ",RGC,11,2,C,1,6,100,90,L,N,0,,9871
"DIFICULTAR INNECESÀRIAMENT EL PAS PER LLOCS DESTINATS AL TRÀNSIT DE PERSONES, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES",RGC,11,2,D,1,6,100,90,L,N,0,,9872
"PORTAR, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, QUALSEVOL ANIMAL EXCEPTE ELS CASOS AUTORITZATS ",RGC,11,2,E,1,6,100,90,L,N,0,,9873
"PORTAR MATERIES O OBJECTES PERILLOSOS, EL VIATGER D'UN VEHI CLE DE TRANSPORT COL.LECTIU DE PERSONES, EN CONDICIONS DIFE RENTS DE LES ESTABLERTES PER LA REGULACIÓ ESPECÍFICA",RGC,11,2,F,1,6,100,90,L,N,0,,9874
"DESATENDRE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, LES INSTRUCCIONS QUE, SOBRE EL SERVEI, DONIN EL CONDUCTOR O LA PERSONA ENCARREGADA DEL VEHICLE",RGC,11,2,G,1,6,100,90,L,N,0,,9875
"CIRCULAR, MÉS D'UNA PERSONA, EN UN CICLE FABRICAT PER A UNA SOLA PERSONA ",RGC,12,1,,1,6,100,90,L,N,0,,5771
CONDUIR UN CICLE TRANSPORTANT UN PASSATGER MENOR DE 7 ANYS SENSE TENIR L'EDAT REQUERIDA PER A FER-HO ,RGC,12,1,,2,6,100,90,L,N,0,,5772
CONDUIR UN CICLE TRANSPORTANT UN PASSATGER MENOR DE 7 ANYS SENSE TENIR INSTAL.LAT UN SEIENT ADDICIONAL HOMOLOGAT ,RGC,12,1,,3,6,100,90,L,N,0,,5773
"CIRCULAR, EL PASSATGER D'UN CICLOMOTOR O MOTOCICLETA, SENSE DUR UNA CAMA A CADA COSTAT DEL CICLOMOTOR O MOTOCICLETA NI AMB ELS PEUS RECOLZATS ALS REPOSAPEUS LATERALS",RGC,12,2,,2,6,100,90,L,N,0,,5774
"CIRCULAR, EL PASSATGER D'UN CICLOMOTOR O D'UNA MOTOCICLETA, A L'ENTREMIG DEL CONDUCTOR I EL MANILLAR ",RGC,12,2,,3,6,100,90,L,N,0,,5775
TRANSPORTAR EN UN CICLOMOTOR O UNA MOTOCICLETA UN PASSATGER MENOR DE 12 ANYS SENSE QUE CONCORRIN LES EXCEPCIONS REGLAMENTÀRIES,RGC,12,2,,4,200,200,200,L,N,0,,13049
"CIRCULAR AMB EL VEHICLE RESSENYAT, ARROSSEGANT UN REMOLC, TRANSPORTANT PERSONES ",RGC,12,4,,2,6,100,90,L,N,0,,14915
"CIRCULAR AMB UN VEHICLE, LA LONGITUD, AMPLADA O ALTURA DEL QUAL. INCLOSA LA CÀRREGA, EXCEDEIX DELS LÍMITS REGLAMENTARIS ",RGC,13,1,,1,200,200,200,L,N,0,,17737
"CIRCULAR AMB UN VEHICLE, LA CÀRREGA INDIVISIBLE DEL QUAL EX CEDEIX LA LONGITUD, AMPLADA O ALTURA REGLAMENTÀRIES, SENSE AUTORITZACIÓ COMPLEMENTÀRIA",RGC,13,2,,3,500,500,500,L,N,0,,17738
"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT ARROSSEGAR- SE, CAURE SOBRE LA VIA O DESPLAÇAR-SE DE MANERA PERILLOSA A CAUSA DEL SEU CONDICIONAMENT",RGC,14,1,A,2,200,200,200,L,N,0,,13615
CIRCULAR AMB UN VEHICLE AMB CARREGA QUE S'HA DESPLAÇAT PERILLOSAMENT ,RGC,14,1,A,3,200,200,200,L,N,0,,16657
CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT COMPROMETRE L'ESTABILITAT DEL VEHICLE A CAUSA DEL SEU CONDICIONAMENT ,RGC,14,1,A,5,200,200,200,L,N,0,,17518
"CIRCULAR AMB UN VEHICLE, LA CÀRREGA DEL QUAL HA CAIGUT A LA VIA PEL SEU MAL ACONDICIONAMENT, CREANT GREU PERILL PER A LA RESTA DELS USUARIS",RGC,14,1,B,3,500,500,500,L,N,0,,18294
"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE POT COMPROMETRE LA SEVA ESTABILITAT, SENSE DISPOSAR DELS ACCESSORIS QUE GARANTEIXIN LA PROTECCIÓ O ACONDICIONAMENT DE LA CÀRREGA",RGC,14,1,B,4,200,200,200,L,N,0,,18903
"CIRCULAR AMB UN VEHICLE AMB UNA CÀRREGA QUE PRODUEIX SOROLL, POLS O ALTRES MOLÈSTIES QUE ES PODEN EVITAR ",RGC,14,1,C,1,6,100,90,L,N,0,,5778
"CIRCULAR AMB VEHICLE AMB CÀRREGA QUE OCULTA ELS DISPOSITIUS D'ENLLUMENAT O DE SENYALITZACIÓ LLUMINOSA, LES PLAQUES O ELS DISTINTIUS OBLIGATORIS O ADVERTÈNCIES MANUALS DEL CONDUCTOR",RGC,14,1,D,1,6,100,90,L,N,0,,5779
"CIRCULAR AMB UN VEHICLE SENSE PORTAR COBERTES, TOTALMENT I EFICAÇMENT, LES MATÈRIES QUE PRODUEIXEN POLS O QUE PODEN CAURE",RGC,14,2,,1,6,100,90,L,N,0,,5780
"CIRCULAR AMB UN VEHICLE DESTINAT AL TRANSPORT DE MERCADERIES, LA CÀRREGA INDIVISIBLE DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS",RGC,15,2,,1,6,100,90,L,N,0,,5781
"CIRCULAR AMB UN VEHICLE, NO DESTINAT AL TRANSPORT DE MERCADERIES, LA CÀRREGA DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS",RGC,15,3,,1,6,100,90,L,N,0,,5782
CIRCULAR AMB UN VEHICLE D'AMPLADA INFERIOR A 1 METRE LA CÀRREGA DEL QUAL SOBRESURT DELS LÍMITS REGLAMENTARIS ,RGC,15,4,,1,6,100,90,L,N,0,,5783
NO PROTEGIR LA CÀRREGA QUE SOBRESURT PER EVITAR DANYS O PERILLS ALS ALTRES USUARIS ,RGC,15,5,,1,6,100,90,L,N,0,,5784
NO SENYALITZAR REGLAMENTÀRIAMENT LA CÀRREGA QUE SOBRESURT LONGITUDINALMENT DEL VEHICLE RESSENYAT ,RGC,15,6,,2,6,100,90,C,N,0,,23246
REALITZAR DINS LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA  ,RGC,16,,,1,6,100,90,L,N,0,,5786
REALITZAR DINS LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA OCASIONANT PERILL O PERTORBACIONS GREUS AL TRÀNSIT D'ALTRES USUARIS,RGC,16,,,2,6,100,90,L,N,0,,5787
REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE RESPECTAR LES DISPOSICIONS SOBRE LA PARADA I L'ESTACIONAMENT ,RGC,16,,A,1,6,100,90,L,N,0,,5788
REALITZAR A LA VIA OPERACIONES DE CÀRREGA I DESCÀRREGA SENSE RESPECTAR LES DISPOSICIONS DE LES AUTORITATS MUNICIPALS SOBRE HORES I LLOCS ADEQUATS,RGC,16,,A,2,6,100,90,L,N,0,,5789
"REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE FER-HO, ESSENT POSSIBLE, PEL COSTAT DEL VEHICLE MÉS PROPER AL COSTAT DE LA CALÇADA",RGC,16,,B,1,6,100,90,L,N,0,,5790
REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE MITJANS SUFICIENTS PER ACONSEGUIR LA MÀXIMA CELERITAT ,RGC,16,,C,1,6,100,90,L,N,0,,5791
REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA DE MANERA QUE ES PRODUEIXEN SOROLLS O MOLÈSTIES INNECESSARIS ,RGC,16,,C,2,6,100,90,L,N,0,,5792
"REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA DE MANERA QUE ES DIPOSITA LA MERCADERIA A LA CALÇADA, AL VORAL O A LA ZONA DE VIANANTS",RGC,16,,C,3,6,100,90,L,N,0,,5793
